dataset,task,n,d_enc,model,track,fold,auc,acc,fit_s,lat_us,size,params
adult,bin,48842,70,LogReg,default,0,0.9077656327328464,0.853510226644555,0.8889753818511963,0.0329782347605625,71,{}
adult,bin,48842,70,LogReg,tuned,0,0.9077783990536342,0.8533259627786991,0.7368617057800293,0.032465695587996,71,"{""C"": 0.1}"
adult,bin,48842,70,DecisionTree,default,0,0.8781604415654825,0.8446655610834716,0.061356782913208,0.0458795779328785,31,"{""max_depth"": 4}"
adult,bin,48842,70,DecisionTree,tuned,0,0.898724010382169,0.8561513420551563,0.083608865737915,0.0511074774930565,77,"{""max_depth"": 6, ""min_samples_leaf"": 20, ""ccp_alpha"": 0.0}"
adult,bin,48842,70,RandomForest,default,0,0.9071050999793584,0.856028499477919,1.4624249935150146,6.618637994996205,3305516,"{""n_estimators"": 300}"
adult,bin,48842,70,RandomForest,tuned,0,0.9210841383438104,0.8645660585959093,1.149489402770996,2.7554105917173395,220640,"{""n_estimators"": 200, ""max_features"": 0.3, ""min_samples_leaf"": 1, ""max_depth"": 12}"
adult,bin,48842,70,HistGB,default,0,0.9309542762615238,0.875069098949696,0.4340629577636719,1.8732135239195733,2170,{}
adult,bin,48842,70,HistGB,tuned,0,0.9301844836976572,0.8742092009090351,2.1636013984680176,7.446008015305717,14490,"{""learning_rate"": 0.03, ""max_iter"": 300, ""max_leaf_nodes"": 63, ""l2_regularization"": 0.0, ""min_samples_leaf"": 10}"
adult,bin,48842,70,XGBoost,default,0,0.931412091861139,0.8759289969903569,7.477177381515503,2.2032448191233023,9843,"{""n_estimators"": 300, ""learning_rate"": 0.1, ""max_depth"": 6}"
adult,bin,48842,70,HistGB,tuned,0,0.9303703517950358,0.8761132608562128,5.384916543960571,31.554767038581865,4500,"{""learning_rate"": 0.03, ""max_iter"": 300, ""max_leaf_nodes"": 15, ""l2_regularization"": 0.0, ""min_samples_leaf"": 20}"
adult,bin,48842,70,XGBoost,default,0,0.931412091861139,0.8759289969903569,73.22440886497498,2.2012385943621138,9843,"{""n_estimators"": 300, ""learning_rate"": 0.1, ""max_depth"": 6}"
adult,bin,48842,70,XGBoost,tuned,0,0.9283427346785498,0.8709538726122474,0.2995162010192871,0.6314921925309673,9368,"{""n_estimators"": 200, ""learning_rate"": 0.1, ""max_depth"": 8, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1, ""min_child_weight"": 5}"
adult,bin,48842,70,EBM,default,0,0.93003851035274,0.8758061544131196,64.289133310318,0.3303827506363461,1630,{}
adult,bin,48842,70,EBM,tuned,0,0.9296287757015468,0.8758675757017382,22.295716524124146,0.3370457598797102,659,"{""max_bins"": 128, ""learning_rate"": 0.05, ""max_rounds"": 2000, ""min_samples_leaf"": 10}"
adult,bin,48842,70,GA2M,default,0,0.9306552106898868,0.8765432098765432,64.4198248386383,0.4562037955132348,3544,"{""interactions"": 10}"
adult,bin,48842,70,GA2M,tuned,0,0.9309451678232346,0.8753762053927892,28.29092025756836,0.4967968979804992,7013,"{""interactions"": 20, ""max_bins"": 256, ""learning_rate"": 0.05}"
adult,bin,48842,70,RuleFit,default,0,0.9149224093694844,0.8556599717462072,12.42048406600952,2.965361280776924,106,"{""max_rules"": 60}"
adult,bin,48842,70,RuleFit,tuned,0,0.9195440247401347,0.8623548922056384,183.43883657455444,4.796561236522406,176,"{""max_rules"": 120, ""tree_size"": 3}"
adult,bin,48842,70,FIGS,default,0,0.9034242650453992,0.8559056569006818,0.7894048690795898,2.792679511551101,20,"{""max_rules"": 20}"
adult,bin,48842,70,FIGS,tuned,0,0.9095746887794816,0.862600577360113,1.770772933959961,3.573964938258709,40,"{""max_rules"": 40}"
adult,bin,48842,70,L1-GAM,default,0,0.8413803190585418,0.817824457957128,1.058605670928955,2.1891280259131856,46,{}
adult,bin,48842,70,L1-GAM,tuned,0,0.8520584137929319,0.8274676002702537,3.705272674560547,1.8126167497458572,85,"{""C"": 0.3, ""n_bins"": 32}"
adult,bin,48842,70,LogReg,default,1,0.9060758153658424,0.8500706344819114,0.8638036251068115,0.0310012979520918,71,{}
