dataset,task,n,model,target,cfg_source,flash_bytes,ram_bytes,insns_per_inf,latency_us,determinism_insns,n_test,n_correct,explain_insns_per_inf,explain_latency_us,explain_agree,params
adult,bin,48842,DTree-d3,cortex-m0,recovered,206,0,90.81347656,1.891947428,10,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0}"
adult,bin,48842,DTree-d3,cortex-m4f,recovered,204,0,40.8125,0.408125,4,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0}"
adult,bin,48842,DTree-d6,cortex-m0,recovered,446,0,109.0634766,2.272155762,9,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.0001}"
adult,bin,48842,DTree-d6,cortex-m4f,recovered,386,0,53.125,0.53125,8,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.0001}"
adult,bin,48842,RF-20,cortex-m0,recovered,7876,0,883.0634766,18.39715576,153,16,15,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 5}"
adult,bin,48842,RF-20,cortex-m4f,recovered,6388,0,590,5.9,95,16,15,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 5}"
adult,bin,48842,RF-40,cortex-m0,recovered,20124,0,1695.750977,35.32814535,172,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 1}"
adult,bin,48842,RF-40,cortex-m4f,recovered,16212,0,1215.25,12.1525,53,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 1}"
adult,bin,48842,LinearSVM,cortex-m0,recovered,348,0,9999.875977,208.3307495,182,16,16,,,,"{""C"": 0.1}"
adult,bin,48842,LinearSVM,cortex-m4f,recovered,336,0,368.3127441,3.683127441,0,16,16,,,,"{""C"": 0.1}"
adult,bin,48842,LogReg,cortex-m0,recovered,348,0,9995.313477,208.2356974,97,16,16,,,,"{""C"": 0.1}"
adult,bin,48842,LogReg,cortex-m4f,recovered,336,0,368.3127441,3.683127441,0,16,16,,,,"{""C"": 0.1}"
adult,bin,48842,GaussianNB,cortex-m0,recovered,1300,0,71378.81348,1487.058614,50,16,16,,,,"{""var_smoothing"": 1e-09}"
adult,bin,48842,GaussianNB,cortex-m4f,recovered,1280,0,1290.3125,12.903125,0,16,16,,,,"{""var_smoothing"": 1e-09}"
bank-marketing,bin,45211,DTree-d3,cortex-m0,recovered,230,0,88.75097656,1.848978678,0,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.001}"
bank-marketing,bin,45211,DTree-d3,cortex-m4f,recovered,220,0,36.625,0.36625,0,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.001}"
bank-marketing,bin,45211,DTree-d6,cortex-m0,recovered,490,0,112.0634766,2.334655762,9,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0001}"
bank-marketing,bin,45211,DTree-d6,cortex-m4f,recovered,386,0,51.9375,0.519375,5,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0001}"
bank-marketing,bin,45211,RF-20,cortex-m0,recovered,9164,0,827.2509766,17.23439535,19,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 5}"
bank-marketing,bin,45211,RF-20,cortex-m4f,recovered,7208,0,554.75,5.5475,16,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 5}"
bank-marketing,bin,45211,RF-40,cortex-m0,recovered,22220,0,1654.500977,34.46877035,67,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 1}"
bank-marketing,bin,45211,RF-40,cortex-m4f,recovered,17512,0,1105.5625,11.055625,49,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 1}"
